"iteration","tmat","fmat","dlm","LH_2022_class1","LH_2022_class2","LH_2022_class3","LH_2023_class1","LH_2023_class2","LH_2023_class3","LH_2024_class1","LH_2024_class2","LH_2024_class3","LH_2025_class1","LH_2025_class2","LH_2025_class3","OBC_2022_class1","OBC_2022_class2","OBC_2022_class3","OBC_2025_class1","OBC_2025_class2","OBC_2025_class3"
72,1.65432036248967,1.19075810664799,0.334089945850428,1,1655,54448,33818.789467968,128822.083291209,125976.956166377,92585.7747786421,114130.765510479,118097.415946976,87277.9903965586,128108.271952847,130794.441315119,1,1,1770,3688.34331789313,757075.852866361,776099.724560077
73,1.72653608005494,1.10021573971026,0.247869744338095,1,1655,54448,398547.525411405,134445.528056845,131476.203163828,1118685.9239845,361740.956425347,356181.651417176,2498849.30504488,961562.048340353,947208.132836572,1,1,1770,31788.5972389637,831410.704295873,852349.206579257
74,1.66518106153235,1.0993694942561,0.191450385283679,1,1655,54448,1817478.83847386,129667.806954171,126804.001422096,4347025.30727392,1243144.64641856,1200245.81390808,7940469.3531246,3501345.14717398,3439601.48382427,1,1,1770,143397.126364629,846798.693229357,862902.311683991
75,1.28280613115057,0.998302127618808,0.171795476367697,1,1655,54448,2732685.71410155,99892.2349144358,97686.0440203431,4768217.1802163,1389596.86164125,1337013.96822512,8258578.01082433,2970684.01732535,2919199.80695423,1,1,1770,201580.093722728,590329.046049525,595113.018620138
76,1.73912197984755,0.919093314022757,0.172354986099526,1,1655,54448,2480552.76490519,135425.59326558,132434.62293695,5671406.90216499,1739837.5994118,1677072.12620995,9393343.38248479,4844930.4881591,4765908.06026102,1,1,1770,197850.301242818,941966.616889836,959308.781348963
77,1.98560896655545,1.19115572927985,0.333664073806722,1,1655,54448,34362.6489089838,154619.558262842,151204.675596734,111496.444952275,155990.444138232,162055.574832134,119013.880149254,198191.685317648,203131.37407448,1,1,1770,4003.26405683045,1039701.49476626,1072366.91491404
78,0.935620482452214,0.933737142954487,0.187592875119299,1,1655,54448,1705765.56367703,72856.8555718136,71247.7602154784,2578294.00479455,639508.137042647,615684.902490507,12570411.6517076,1133947.71017033,1110983.16795615,1,1,1770,103423.120241575,351489.935348709,352303.254225649
79,1.49298594258726,0.739641403325368,0.223465570039116,1,1655,54448,523705.386768344,116258.956735038,113691.295175306,1275763.67119177,373901.973228145,365441.980050625,3275312.50683363,927126.663911826,911369.311467412,1,1,1770,39601.9418122567,658197.274873262,671243.529304133
80,1.12251002173871,0.860933672450483,0.274765106174163,1,1655,54448,145288.325594597,87409.9616944922,85479.4506621927,277293.082220647,108077.39921489,107592.930120506,338983.554904959,163184.450159171,161414.408714542,1,1,1770,9882.82989421295,412908.533641866,417940.33740428
81,1.2680624620989,1.03616337709827,0.151860028819647,1,1655,54448,4673728.76739685,98744.1440091562,96563.3095174204,5698042.77394759,2307677.18880177,2216771.54727257,23187607.037276,3806835.0827148,3766711.23645831,1,1,1770,357824.837778096,642822.260584688,644771.863965758
82,1.959761637263,0.741667032893747,0.155462713411544,1,1655,54448,3059571.80289373,152606.824283097,149236.394275217,7048960.84459503,2403651.17338798,2315862.32998731,15941560.2657416,6956899.30515879,6858192.12098,1,1,1770,239216.854911893,1184349.57577664,1208968.30725553
83,0.951177248638123,1.12244305274216,0.17897767459508,1,1655,54448,2558859.13714449,74068.2624279361,72432.4122915391,3648626.68811854,958664.632198572,921654.200890234,16928939.8911852,1649563.10657057,1617800.54720261,1,1,1770,161614.198779366,378798.297296778,378998.44733123
84,1.5608151897788,0.658000104734674,0.157090872141998,1,1655,54448,2606595.8749667,121540.826637274,118856.511232605,5378235.30158517,1628289.04602916,1568291.42170913,9231720.592717,4111248.38247082,4043080.13551826,1,1,1770,205145.161880588,795152.420049086,806664.681793679
85,0.923267397284508,0.74526355023263,0.315456158213783,1,1655,54448,37561.2098879677,71894.9196599671,70307.0693408587,59622.5328327305,45928.8186669802,46732.3567842087,40532.7320993104,37083.1844821855,37320.4938330387,1,1,1770,2717.58739306246,309072.123533923,311228.759188974
86,1.94421308897436,1.1160745960311,0.209614480403252,1,1655,54448,1145196.79910393,151396.057355413,148052.367994321,3354223.23696839,970500.821812882,942154.626962113,8536722.9385673,3162738.31170859,3107929.82523961,1,1,1770,90331.6118131419,1062684.22403573,1090928.26764559
87,1.72601688262075,0.691340875497554,0.149914833216462,1,1655,54448,3272259.36558119,134405.098103477,131436.66613467,6599658.5140075,2244947.37908012,2161018.75856252,15906544.6487803,5733242.20726831,5651512.57942699,1,1,1770,262367.818712995,968008.294141675,983367.002416088
88,1.28094446379691,1.11211500847712,0.324070257914718,1,1655,54448,43017.0216390668,99747.2667013064,97544.2775330737,92860.8144759738,79326.2377927755,81250.8617900934,78183.8045681535,83144.8249375273,83970.2514198166,1,1,1770,3780.47258145265,501080.975340606,509416.76885352
89,1.73854955257848,1.08537856525509,0.122865901817568,1,1655,54448,9916857.03341226,135381.018299929,132391.032441047,4829730.56968597,6648144.00495346,6381128.7333654,139320373.501465,7385322.50461098,7544960.97292803,1,1,1770,751982.872801956,1299112.01699648,1301922.26725859
